epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/returns,test/success_rate,train/episode,train/returns,train/success_rate
0,0.98232263,0.13917369,0.1970426,0.11844323,200,-2.8921807,-98.225,0.025,200,-92.56,0.13
1,0.98036224,0.14621557,0.19849893,0.1173249,400,-5.1308007,-98.92,0.01,400,-88.815,0.195
2,0.981777,0.13742398,0.1983736,0.11941381,600,-6.9516816,-96.28,0.075,600,-93.775,0.12
3,0.9830002,0.13447927,0.19703163,0.12717158,800,-9.417166,-99.28,0.01,800,-95.445,0.08
4,0.98373026,0.1342328,0.19680753,0.12932427,1000,-11.632397,-99.165,0.015,1000,-93.575,0.115
5,0.982742,0.13127035,0.19551377,0.13506314,1200,-13.373535,-99.835,0.01,1200,-96.13,0.08
6,0.98214024,0.12609483,0.19426836,0.13684027,1400,-15.254674,-98.735,0.02,1400,-94.385,0.085
7,0.9824455,0.12303263,0.19349943,0.13874987,1600,-17.25487,-98.785,0.015,1600,-95.185,0.085
8,0.98259544,0.12527269,0.19313696,0.1412415,1800,-9.775086,-65.38,0.46,1800,-91.455,0.12
9,0.98103446,0.12367783,0.19363114,0.13948011,2000,-9.028936,-58.01,0.555,2000,-78.405,0.28
10,0.9806277,0.12832716,0.19470131,0.13955534,2200,-14.958083,-77.6,0.3,2200,-77.15,0.32
11,0.98050636,0.13022129,0.19514903,0.13960491,2400,-19.52941,-96.35,0.085,2400,-85.295,0.215
12,0.9794319,0.1297239,0.19567531,0.13757661,2600,-10.992071,-58.185,0.54,2600,-75.925,0.365
13,0.9783321,0.12827456,0.19586521,0.13591976,2800,-12.518114,-61.93,0.525,2800,-72.9,0.365
14,0.97730035,0.12769948,0.1961942,0.13410546,3000,-12.161873,-57.44,0.535,3000,-69.87,0.44
15,0.97676164,0.12902397,0.19650325,0.13327399,3200,-11.994197,-56.715,0.605,3200,-72.95,0.375
16,0.9759888,0.12797643,0.1968756,0.13225219,3400,-13.587559,-63.34,0.505,3400,-69.48,0.43
17,0.9754409,0.12678738,0.19708411,0.13091928,3600,-15.923,-63.07,0.485,3600,-72.24,0.395
18,0.9749362,0.12687644,0.19730158,0.1294959,3800,-15.226086,-66.04,0.49,3800,-63.9,0.495
19,0.9746723,0.12756597,0.19750819,0.12934308,4000,-14.1064205,-57.21,0.58,4000,-69.895,0.45
20,0.9743461,0.1278041,0.19747707,0.12868741,4200,-15.231702,-62.775,0.52,4200,-65.36,0.465
21,0.97383386,0.12704273,0.19752051,0.12870634,4400,-17.619383,-68.98,0.41,4400,-69.475,0.445
22,0.9734661,0.12808925,0.1976897,0.12841883,4600,-14.775575,-62.66,0.515,4600,-67.915,0.43
23,0.9732871,0.12788822,0.19778009,0.12742123,4800,-13.221555,-50.865,0.685,4800,-68.305,0.405
24,0.97297645,0.12846507,0.19800511,0.12783943,5000,-15.59246,-56.165,0.61,5000,-70.385,0.41
25,0.97250175,0.12867756,0.19809334,0.12717152,5200,-14.318396,-57.385,0.6,5200,-68.64,0.44
26,0.9721064,0.12825459,0.19818492,0.12623143,5400,-18.626562,-65.725,0.435,5400,-68.185,0.425
27,0.9717087,0.12803493,0.19824333,0.12524033,5600,-12.607535,-50.095,0.675,5600,-61.285,0.545
28,0.9713873,0.12680696,0.19829424,0.12420905,5800,-14.688616,-52.01,0.625,5800,-67.025,0.455
29,0.9710795,0.12669419,0.19838479,0.12333486,6000,-16.522411,-54.925,0.61,6000,-68.455,0.46
30,0.97067064,0.12644231,0.19846058,0.12246102,6200,-15.050884,-52.435,0.655,6200,-63.615,0.515
31,0.9704404,0.12633379,0.19844456,0.122399375,6400,-18.904793,-68.25,0.455,6400,-69.035,0.455
32,0.97012275,0.12604384,0.198484,0.12160174,6600,-17.485485,-57.15,0.585,6600,-65.865,0.485
33,0.9698128,0.12554915,0.19850692,0.120752,6800,-13.123461,-48.76,0.685,6800,-62.73,0.525
34,0.969544,0.12497187,0.19854107,0.12016718,7000,-16.241138,-55.16,0.605,7000,-69.785,0.415
35,0.9691996,0.124400854,0.19861166,0.11940342,7200,-17.291548,-60.47,0.57,7200,-62.58,0.52
36,0.9688732,0.1237331,0.19856162,0.1189273,7400,-15.493962,-55.195,0.63,7400,-67.95,0.47
37,0.9687209,0.12376499,0.19860354,0.11848557,7600,-16.666008,-52.46,0.665,7600,-65.16,0.505
